SCHOOL,COUNTY,GRAD
Mount Pleasant HS,Titus County,98.6
Chapel Hill HS,Titus County,95.5
Chapel Hill HS,Titus County,95.5
Texas Leadership of San Angelo,Tom Green County,100.0
Texas Leadership of San Angelo,Tom Green County,100.0
Texas Leadership of Midland,Tom Green County,96.2
Texas Leadership of Midland,Tom Green County,96.2
Trinity Leadership,Tom Green County,92.6
Trinity Leadership,Tom Green County,92.6
Christoval HS,Tom Green County,100.0
Christoval HS,Tom Green County,100.0
Central HS,Tom Green County,96.0
Central HS,Tom Green County,96.5
Lake View HS,Tom Green County,88.6
Lake View HS,Tom Green County,90.4
Water Valley School,Tom Green County,100.0
Water Valley School,Tom Green County,100.0
San Angelo State School,Tom Green County,-1
San Angelo State School,Tom Green County,-1
Wall HS,Tom Green County,100.0
Wall HS,Tom Green County,100.0
Fairview Accelerated,Tom Green County,-1
Fairview Accelerated,Tom Green County,-1
Grape Creek HS,Tom Green County,100.0
Grape Creek HS,Tom Green County,100.0
Fairview Accelerated,Tom Green County,-1
Fairview Accelerated,Tom Green County,-1
Veribest HS,Tom Green County,100.0
Veribest HS,Tom Green County,100.0
Fairview Accelerated,Tom Green County,-1
Fairview Accelerated,Tom Green County,-1
University of Texas at Austin HS,Travis County,52.1
University of Texas at Austin HS,Travis County,53.5
Wayside Sci-Tech Middle/HS,Travis County,93.5
Wayside Sci-Tech Middle/HS,Travis County,93.5
NYOS Lamar Secondary,Travis County,96.8
NYOS Lamar Secondary,Travis County,96.8
Texas Empowerment Academy,Travis County,83.3
Texas Empowerment Academy,Travis County,83.3
Methodist Children's Home,Travis County,-1
Methodist Children's Home,Travis County,-1
Laurel Ridge,Travis County,-1
Laurel Ridge,Travis County,-1
UT-University Charter School,Travis County,0.0
UT-University Charter School,Travis County,0.0
Austin Oaks,Travis County,-1
Austin Oaks,Travis County,-1
Georgetown Behavioral Health,Travis County,-1
Georgetown Behavioral Health,Travis County,-1
Cedar Crest,Travis County,-1
Cedar Crest,Travis County,-1
Chaparral Star Academy,Travis County,95.0
Chaparral Star Academy,Travis County,95.0
Harmony Science Academy,Travis County,91.4
Harmony Science Academy,Travis County,91.4
Harmony School of Endeavor Austin,Travis County,96.0
Harmony School of Endeavor Austin,Travis County,96.0
Harmony School of Excellence,Travis County,93.2
Harmony School of Excellence,Travis County,93.2
Cedars Academy Next Generation,Travis County,100.0
Cedars Academy Next Generation,Travis County,100.0
KIPP Austin Collegiate,Travis County,96.1
KIPP Austin Collegiate,Travis County,96.1
KIPP Austin Brave,Travis County,95.6
KIPP Austin Brave,Travis County,96.2
KIPP Houston HS,Travis County,97.4
KIPP Houston HS,Travis County,97.4
KIPP Generations Collegiate,Travis County,96.4
KIPP Generations Collegiate,Travis County,97.1
KIPP Northeast College Preparatory,Travis County,96.6
KIPP Northeast College Preparatory,Travis County,96.6
KIPP Sunnyside HS,Travis County,97.8
KIPP Sunnyside HS,Travis County,97.8
KIPP University Prep HS,Travis County,92.7
KIPP University Prep HS,Travis County,93.1
The East Austin College Prep,Travis County,95.7
The East Austin College Prep,Travis County,95.7
Austin Achieve HS,Travis County,87.6
Austin Achieve HS,Travis County,89.3
The Excel Center,Travis County,8.1
The Excel Center,Travis County,8.5
The Excel Center for Adults,Travis County,26.3
The Excel Center for Adults,Travis County,28.3
The Excel Center for Adults,Travis County,7.4
The Excel Center for Adults,Travis County,9.5
Billy Moore,Travis County,31.4
Billy Moore,Travis County,30.3
Austin HS,Travis County,93.3
Austin HS,Travis County,93.6
Navarro ECHS,Travis County,94.3
Navarro ECHS,Travis County,94.6
McCallum HS,Travis County,96.2
McCallum HS,Travis County,96.7
Northeast ECHS,Travis County,99.0
Northeast ECHS,Travis County,99.0
Travis ECHS,Travis County,86.5
Travis ECHS,Travis County,87.8
Crockett ECHS,Travis County,90.3
Crockett ECHS,Travis County,90.5
Anderson HS,Travis County,98.1
Anderson HS,Travis County,98.1
Bowie HS,Travis County,98.0
Bowie HS,Travis County,98.0
LBJ ECHS,Travis County,83.2
LBJ ECHS,Travis County,83.2
Garza Independence HS,Travis County,42.1
Garza Independence HS,Travis County,80.4
Akins HS,Travis County,92.0
Akins HS,Travis County,92.3
Lasa HS,Travis County,99.7
Lasa HS,Travis County,99.7
Eastside ECHS,Travis County,82.4
Eastside ECHS,Travis County,86.6
Graduation Prep Academy Navarro,Travis County,34.5
Graduation Prep Academy Navarro,Travis County,76.9
Richards Sch for Young Women,Travis County,98.9
Richards Sch for Young Women,Travis County,98.9
Travis County Juvenile Detention,Travis County,-1
Travis County Juvenile Detention,Travis County,-1
Rosedale,Travis County,0.0
Rosedale,Travis County,0.0
Pflugerville HS,Travis County,95.0
Pflugerville HS,Travis County,97.1
John B Connally HS,Travis County,80.4
John B Connally HS,Travis County,82.4
Hendrickson HS,Travis County,97.7
Hendrickson HS,Travis County,98.4
Weiss HS,Travis County,93.7
Weiss HS,Travis County,94.9
Manor HS,Travis County,85.0
Manor HS,Travis County,86.1
Manor Excel Academy,Travis County,84.5
Manor Excel Academy,Travis County,88.2
Manor New Technology High,Travis County,100.0
Manor New Technology High,Travis County,100.0
Westlake HS,Travis County,97.8
Westlake HS,Travis County,97.8
Adult Transition Services,Travis County,0.0
Del Valle HS,Travis County,96.6
Del Valle HS,Travis County,96.8
Del Valle Opportunity Ctr,Travis County,69.4
Del Valle Opportunity Ctr,Travis County,76.4
Lago Vista HS,Travis County,93.3
Lago Vista HS,Travis County,95.4
Lake Travis HS,Travis County,96.8
Lake Travis HS,Travis County,97.7
Groveton JH/HS,Trinity County,96.4
Groveton JH/HS,Trinity County,96.4
Trinity HS,Trinity County,93.4
Trinity HS,Trinity County,93.4
Centerville HS,Trinity County,91.7
Centerville HS,Trinity County,91.7
Apple Springs HS,Trinity County,100.0
Apple Springs HS,Trinity County,100.0
Colmesneil JH/HS,Tyler County,97.2
Colmesneil JH/HS,Tyler County,97.2
Woodville HS,Tyler County,92.9
Woodville HS,Tyler County,94.2
Warren HS,Tyler County,96.2
Warren HS,Tyler County,96.1
Spurger HS,Tyler County,84.0
Spurger HS,Tyler County,84.0
Chester HS,Tyler County,95.0
Chester HS,Tyler County,95.0
Big Sandy HS,Upshur County,97.6
Big Sandy HS,Upshur County,97.6
Gilmer HS,Upshur County,88.6
Gilmer HS,Upshur County,90.1
Ore City HS,Upshur County,94.7
Ore City HS,Upshur County,94.7
Union Hill HS,Upshur County,100.0
Union Hill HS,Upshur County,100.0
Harmony HS,Upshur County,95.2
Harmony HS,Upshur County,95.2
New Diana HS,Upshur County,98.5
New Diana HS,Upshur County,98.5
Union Grove HS,Upshur County,97.9
Union Grove HS,Upshur County,97.9
McCamey HS,Upton County,92.3
McCamey HS,Upton County,92.3
Rankin School,Upton County,100.0
Rankin School,Upton County,100.0
Knippa School,Uvalde County,100.0
Knippa School,Uvalde County,100.0
Sabinal Secondary,Uvalde County,94.1
Sabinal Secondary,Uvalde County,97.0
Uvalde HS,Uvalde County,89.8
Uvalde HS,Uvalde County,90.3
Crossroads Academy,Uvalde County,60.9
Crossroads Academy,Uvalde County,64.3
Utopia School,Uvalde County,100.0
Utopia School,Uvalde County,100.0
Del Rio HS,Val Verde County,89.7
Del Rio HS,Val Verde County,91.7
Blended Academy,Val Verde County,83.1
Blended Academy,Val Verde County,85.7
Del Rio ECHS,Val Verde County,99.1
Del Rio ECHS,Val Verde County,99.1
Comstock School,Val Verde County,100.0
Comstock School,Val Verde County,100.0
Ranch Academy,Van Zandt County,62.1
Ranch Academy,Van Zandt County,62.1
Canton HS,Van Zandt County,98.0
Canton HS,Van Zandt County,98.6
Edgewood HS,Van Zandt County,100.0
Edgewood HS,Van Zandt County,100.0
Grand Saline HS,Van Zandt County,97.6
Grand Saline HS,Van Zandt County,97.6
Martins Mill HS,Van Zandt County,97.3
Martins Mill HS,Van Zandt County,97.3
Van HS,Van Zandt County,95.6
Van HS,Van Zandt County,96.1
Wills Point HS,Van Zandt County,91.7
Wills Point HS,Van Zandt County,92.2
Fruitvale HS,Van Zandt County,100.0
Fruitvale HS,Van Zandt County,100.0
Bloomington HS,Victoria County,85.5
Bloomington HS,Victoria County,87.0
VISD Success Academy,Victoria County,79.6
VISD Success Academy,Victoria County,85.9
Victoria East HS,Victoria County,97.4
Victoria East HS,Victoria County,99.2
Victoria West HS,Victoria County,97.3
Victoria West HS,Victoria County,98.6
Thomas Buzbee Vocational School,Walker County,18.2
Thomas Buzbee Vocational School,Walker County,18.2
New Waverly HS,Walker County,94.4
New Waverly HS,Walker County,94.4
Huntsville HS,Walker County,86.1
Huntsville HS,Walker County,86.6
Texas Online Preparatory HS,Walker County,88.6
Texas Online Preparatory HS,Walker County,88.6
Hempstead HS,Waller County,85.0
Hempstead HS,Waller County,87.5
Waller HS,Waller County,94.4
Waller HS,Waller County,95.2
Royal HS,Waller County,91.4
Royal HS,Waller County,91.4
Monahans HS,Ward County,97.6
Monahans HS,Ward County,97.6
Monahans Ed Ctr,Ward County,100.0
Monahans Ed Ctr,Ward County,100.0
Grandfalls-Royalty School,Ward County,100.0
Grandfalls-Royalty School,Ward County,100.0
Brenham HS,Washington County,92.8
Brenham HS,Washington County,93.7
Burton HS,Washington County,100.0
Burton HS,Washington County,100.0
Triumph Public HS-Laredo North,Webb County,61.5
Triumph Public HS-Laredo North,Webb County,76.9
Triumph Public HS-Laredo South,Webb County,89.5
Triumph Public HS-Laredo South,Webb County,100.0
Martin HS,Webb County,93.8
Martin HS,Webb County,94.6
Nixon HS,Webb County,97.0
Nixon HS,Webb County,97.5
Dr Leo Cigarroa HS,Webb County,94.8
Dr Leo Cigarroa HS,Webb County,95.7
Hector J Garcia ECHS,Webb County,100.0
Hector J Garcia ECHS,Webb County,100.0
United HS,Webb County,96.1
United HS,Webb County,97.5
United South HS,Webb County,93.8
United South HS,Webb County,95.1
John B Alexander HS,Webb County,96.4
John B Alexander HS,Webb County,96.9
JJA Program,Webb County,-1
JJA Program,Webb County,-1
Lyndon B Johnson,Webb County,92.8
Lyndon B Johnson,Webb County,95.3
Youth Village Detention Center,Webb County,-1
Youth Village Detention Center,Webb County,-1
Bruni HS,Webb County,84.6
Bruni HS,Webb County,84.6
Boling HS,Wharton County,96.3
Boling HS,Wharton County,97.5
East Bernard HS,Wharton County,100.0
East Bernard HS,Wharton County,100.0
El Campo HS,Wharton County,96.5
El Campo HS,Wharton County,96.9
Wharton HS,Wharton County,91.0
Wharton HS,Wharton County,93.5
Louise HS,Wharton County,100.0
Louise HS,Wharton County,100.0
Shamrock HS,Wheeler County,97.4
Shamrock HS,Wheeler County,100.0
Wheeler School,Wheeler County,96.2
Wheeler School,Wheeler County,96.2
Kelton School,Wheeler County,90.0
Kelton School,Wheeler County,90.0
Fort Elliott School,Wheeler County,100.0
Fort Elliott School,Wheeler County,100.0
Burkburnett HS,Wichita County,96.3
Burkburnett HS,Wichita County,96.3
Gateway Student Support Ctr,Wichita County,66.7
Gateway Student Support Ctr,Wichita County,71.4
Electra Jr/Sr HS,Wichita County,78.9
Electra Jr/Sr HS,Wichita County,78.9
Iowa Park HS,Wichita County,99.2
Iowa Park HS,Wichita County,99.2
Hirschi HS,Wichita County,94.0
Hirschi HS,Wichita County,94.0
Rider HS,Wichita County,96.5
Rider HS,Wichita County,96.5
Wichita Falls HS,Wichita County,95.2
Wichita Falls HS,Wichita County,95.7
City View Jr/Sr HS,Wichita County,94.4
City View Jr/Sr HS,Wichita County,95.7
Harrold School,Wilbarger County,-1
Harrold School,Wilbarger County,-1
Vernon HS,Wilbarger County,92.9
Vernon HS,Wilbarger County,93.4
Northside School,Wilbarger County,100.0
Northside School,Wilbarger County,100.0
Lasara HS,Willacy County,95.2
Lasara HS,Willacy County,95.2
Lyford HS,Willacy County,99.1
Lyford HS,Willacy County,99.1
Raymondville HS,Willacy County,96.0
Raymondville HS,Willacy County,96.9
Raymondville Options Academic,Willacy County,88.9
Raymondville Options Academic,Willacy County,88.9
San Perlita HS,Willacy County,100.0
San Perlita HS,Willacy County,100.0
Meridian World School LLC,Williamson County,94.0
Meridian World School LLC,Williamson County,96.3
Florence HS,Williamson County,88.3
Florence HS,Williamson County,90.2
Georgetown HS,Williamson County,99.3
Georgetown HS,Williamson County,99.5
Chip Richarte HS,Williamson County,89.4
Chip Richarte HS,Williamson County,89.1
East View HS,Williamson County,94.3
East View HS,Williamson County,95.5
Granger School,Williamson County,92.1
Granger School,Williamson County,91.9
Hutto HS,Williamson County,93.8
Hutto HS,Williamson County,93.9
Jarrell HS,Williamson County,93.0
Jarrell HS,Williamson County,94.4
Liberty Hill HS,Williamson County,97.8
Liberty Hill HS,Williamson County,99.3
Round Rock HS,Williamson County,99.3
Round Rock HS,Williamson County,99.8
Westwood HS,Williamson County,98.5
Westwood HS,Williamson County,99.6
McNeil HS,Williamson County,97.4
McNeil HS,Williamson County,98.6
Stony Point HS,Williamson County,97.0
Stony Point HS,Williamson County,99.6
Cedar Ridge HS,Williamson County,98.6
Cedar Ridge HS,Williamson County,99.0
Success HS,Williamson County,76.4
Success HS,Williamson County,77.3
RRISD ECHS,Williamson County,100.0
RRISD ECHS,Williamson County,100.0
STEP-Detention,Williamson County,-1
STEP-Detention,Williamson County,-1
Taylor HS,Williamson County,90.2
Taylor HS,Williamson County,93.2
Legacy ECHS,Williamson County,100.0
Legacy ECHS,Williamson County,100.0
Thrall HS,Williamson County,100.0
Thrall HS,Williamson County,100.0
Leander HS,Williamson County,95.7
Leander HS,Williamson County,96.7
Cedar Park HS,Williamson County,97.5
Cedar Park HS,Williamson County,98.6
Vista Ridge HS,Williamson County,98.5
Vista Ridge HS,Williamson County,98.8
Rouse HS,Williamson County,94.8
Rouse HS,Williamson County,96.2
Vandegrift HS,Williamson County,98.5
Vandegrift HS,Williamson County,98.5
Glenn HS,Williamson County,96.9
Glenn HS,Williamson County,99.1
New Hope HS,Williamson County,87.9
New Hope HS,Williamson County,91.3
Floresville HS,Wilson County,89.1
Floresville HS,Wilson County,90.3
La Vernia HS,Wilson County,96.6
La Vernia HS,Wilson County,96.6
Poth HS,Wilson County,96.7
Poth HS,Wilson County,96.7
Stockdale HS,Wilson County,94.9
Stockdale HS,Wilson County,96.5
Kermit HS,Winkler County,100.0
Kermit HS,Winkler County,100.0
Wink HS,Winkler County,100.0
Wink HS,Winkler County,100.0
Alvord HS,Wise County,95.2
Alvord HS,Wise County,98.3
Boyd HS,Wise County,95.1
Boyd HS,Wise County,96.0
Bridgeport HS,Wise County,93.1
Bridgeport HS,Wise County,93.1
Chico HS,Wise County,92.7
Chico HS,Wise County,92.7
Decatur HS,Wise County,93.1
Decatur HS,Wise County,94.5
Paradise HS,Wise County,97.6
Paradise HS,Wise County,97.6
Slidell Schools,Wise County,100.0
Slidell Schools,Wise County,100.0
Hawkins HS/Middle,Wood County,95.3
Hawkins HS/Middle,Wood County,95.3
Mineola HS,Wood County,96.1
Mineola HS,Wood County,96.1
Quitman HS,Wood County,97.6
Quitman HS,Wood County,97.6
Yantis School,Wood County,96.4
Yantis School,Wood County,96.4
Alba-Golden HS,Wood County,97.9
Alba-Golden HS,Wood County,97.9
Winnsboro HS,Wood County,99.0
Winnsboro HS,Wood County,100.0
Denver City HS,Yoakum County,96.3
Denver City HS,Yoakum County,97.0
Plains HS,Yoakum County,97.1
Plains HS,Yoakum County,97.1
Graham HS,Young County,97.3
Graham HS,Young County,98.6
Graham Learning Ctr,Young County,-1
Graham Learning Ctr,Young County,-1
Newcastle School,Young County,100.0
Newcastle School,Young County,100.0
Olney HS,Young County,86.4
Olney HS,Young County,86.4
Zapata HS,Zapata County,92.7
Zapata HS,Zapata County,95.3
Crystal City HS,Zavala County,92.2
Crystal City HS,Zavala County,94.0
La Pryor HS,Zavala County,90.0
La Pryor HS,Zavala County,90.0
